left,right,up,down,distance,chosen
0,0,1,0,2.513,1
1,0,0,0,2.554,1
1,0,0,0,2.59,1
1,0,0,0,2.622,1
1,0,0,0,2.652,3
0,0,1,0,2.705,3
0,0,1,0,2.761,3
0,0,1,0,2.82,3
0,0,1,0,2.881,3
0,0,1,0,2.944,3
0,0,1,0,3.009,3
0,0,1,0,3.075,3
0,0,1,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
1,1,0,0,-0.757,2
1,0,0,1,-0.727,2
1,0,0,1,-0.695,2
1,0,0,1,-0.661,2
1,0,0,1,-0.625,2
1,0,0,1,-0.588,2
1,0,0,1,-0.549,2
1,0,0,1,-0.507,2
1,0,0,1,-0.464,2
1,0,0,1,-0.418,2
1,0,0,1,-0.371,2
1,0,0,1,-0.322,2
1,0,0,1,-0.271,2
1,0,0,1,-0.219,2
1,0,0,1,-0.165,2
1,0,0,1,-0.111,2
1,0,0,1,-0.055,2
1,0,0,1,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,2.976,3
0,0,1,0,3.142,3
0,0,1,0,-2.976,0
0,1,0,0,-2.944,0
0,1,0,0,-2.897,0
0,1,0,0,-2.82,0
0,1,0,0,-2.678,0
0,1,0,0,-2.356,0
0,1,0,0,-1.571,2
0,0,0,1,2.356,2
0,0,0,1,2.304,2
0,0,0,1,2.257,1
1,0,0,0,2.309,3
1,0,1,0,2.356,3
1,0,1,0,2.409,3
0,0,1,0,2.467,3
0,0,1,0,2.531,3
0,0,1,0,2.601,3
0,0,1,0,2.678,3
0,0,1,0,2.761,0
0,1,0,0,2.723,0
0,1,0,0,2.678,0
0,1,0,0,2.622,3
0,0,1,0,2.737,3
0,0,1,0,2.863,3
0,0,1,0,3.0,3
0,0,1,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,-1.107,0
0,1,0,0,-1.043,0
0,1,0,0,-0.983,2
0,0,0,1,-0.942,2
0,0,0,1,-0.896,2
0,0,0,1,-0.844,2
0,0,0,1,-0.785,2
0,0,0,1,-0.719,2
0,0,0,1,-0.644,2
0,0,0,1,-0.559,2
0,0,0,1,-0.464,2
0,0,0,1,-0.359,2
0,0,0,1,-0.245,2
0,0,0,1,-0.124,2
0,0,1,1,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,0,1,0,0.0,1
1,1,1,0,2.283,3
0,1,1,0,2.306,3
0,1,1,0,2.331,3
